"__mclCluster","adj_P_Val","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","DiffExpressed","Eccentricity","GNC - Common","HUB","IsSingleNode","logFC","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6","4.036724577046372E-5","2.0714285714285716","0.0","0.48275862068965514","1.0","2","UP","3","true",,"false","0.8889426666666667","IFI44","9.5","0","2","0","0.8928571428571429","false","0","IFI44","0","0.8636363636363636"
"6","5.256933528981236E-8","1.2857142857142858","0.3454735740450026","0.7777777777777777","0.3111111111111111","10","UP","2","true","1","false","0.9646617777777777","RSAD2","4.5","0","10","0","0.9714285714285713","false","0","RSAD2","134","0.32142857142857145"
"5","5.367389103112579E-4","2.3529411764705883","0.0","0.425","1.0","2","DOWN","4","true",,"false","-1.0388273333333333","CHRDL1","7.0","0","2","0","0.8647058823529411","false","0","CHRDL1","0","0.7"
"3","5.742329646322283E-4","1.8275862068965518","0.01984293142544374","0.5471698113207547","0.3333333333333333","7","DOWN","3","true",,"false","-1.7448384444444445","REG1A","9.571428571428571","0","7","0","0.9640179910044978","false","0","REG1A","72","0.3544973544973545"
"1","6.02473158033191E-8","4.375","0.0011532478114190837","0.22857142857142856","0.5","4","UP","7","true",,"false","0.9271624444444443","SPOCK1","6.25","0","4","0","0.9176829268292683","false","0","SPOCK1","100","0.390625"
"6","1.6204154928834184E-7","1.7857142857142858","0.0315018315018315","0.5599999999999999","0.6","5","UP","3","true",,"false","1.0571731111111111","OAS2","6.4","0","5","0","0.9214285714285714","false","0","OAS2","16","0.5333333333333333"
"6","3.071845323315246E-5","1.7142857142857142","0.050104657247514395","0.5833333333333334","0.5","5","UP","3","true",,"false","1.2289117777777776","IFI44L","6.0","0","5","0","0.9285714285714286","false","0","IFI44L","24","0.46153846153846156"
"1","1.7251178577307828E-7","5.4453125","4.534897775935903E-4","0.1836441893830703","0.3","5","UP","9","true",,"false","1.5138422222222223","EDIL3","8.0","0","5","0","0.891577743902439","false","0","EDIL3","34","0.38"
"2","3.8597617131575006E-5","3.0609756097560976","3.3425441811470115E-4","0.32669322709163345","0.7333333333333333","6","DOWN","6","true",,"false","-1.018595111111111","PAH","16.0","0","6","0","0.896951219512195","false","0","PAH","22","0.45714285714285713"
"6","1.2803490656115644E-7","2.0","0.052328623757195186","0.5","0.3333333333333333","3","UP","3","true",,"false","1.0535862222222223","DDX60","5.666666666666667","0","3","0","0.9","false","0","DDX60","28","0.5333333333333333"
"1","3.6729473614634544E-5","4.8984375","0.003556928430821147","0.20414673046251994","0.0","3","UP","8","true",,"false","0.6420546666666667","SH3PXD2B","6.666666666666667","0","3","0","0.9049161585365854","false","0","SH3PXD2B","722","0.37777777777777777"
"6","5.174357724227967E-8","2.2142857142857144","0.0","0.45161290322580644","1.0","2","UP","3","true",,"false","1.3512633333333333","IFI27","7.0","0","2","0","0.8785714285714284","false","0","IFI27","0","0.7777777777777778"
"1","8.64904854507449E-7","5.34375","0.002988099739394999","0.1871345029239766","0.6","6","UP","9","false",,"false","1.0800866666666666","CORIN","11.333333333333334","0","6","0","0.8940548780487805","false","0","CORIN","2176","0.37777777777777777"
