"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"165.68212456789834","0.25","interacts with","COL11A1 (interacts with) ITGA11","false","interacts with","COL11A1 (interacts with) ITGA11","0.9007"
"7.9088170114485905","0.5","interacts with","MKI67 (interacts with) PRC1","false","interacts with","MKI67 (interacts with) PRC1","0.8764"
"75.78412698412697","0.25","interacts with","AKAP7 (interacts with) APOBEC2","false","interacts with","AKAP7 (interacts with) APOBEC2","0.835"
"100.18594565908808","0.25","interacts with","COL11A1 (interacts with) KIF26B","false","interacts with","COL11A1 (interacts with) KIF26B","0.8457"
"8.393974805151274","0.3333333432674408","interacts with","MKI67 (interacts with) RAD51AP1","false","interacts with","MKI67 (interacts with) RAD51AP1","0.8119"
"4059.176487451322","0.25","interacts with","COL11A1 (interacts with) LOXL2","false","interacts with","COL11A1 (interacts with) LOXL2","0.8108"
"13.782731291909709","0.3333333432674408","interacts with","MKI67 (interacts with) STIL","false","interacts with","MKI67 (interacts with) STIL","0.8153"
"74.90290820290821","0.3333333432674408","interacts with","AKAP7 (interacts with) BEX1","false","interacts with","AKAP7 (interacts with) BEX1","0.8196"
"198.6979810995184","0.5","interacts with","MKI67 (interacts with) UBE2C","false","interacts with","MKI67 (interacts with) UBE2C","0.8202"
"179.7690476190476","0.25","interacts with","COL11A1 (interacts with) LRRC15","false","interacts with","COL11A1 (interacts with) LRRC15","0.8466"
"19.189199689199693","0.3333333432674408","interacts with","AKAP7 (interacts with) ERO1LB","false","interacts with","AKAP7 (interacts with) ERO1LB","0.8712"
"7.066812719444298","0.5","interacts with","MKI67 (interacts with) UBE2T","false","interacts with","MKI67 (interacts with) UBE2T","0.8292"
"184.48320372438027","0.20000000298023224","interacts with","COL11A1 (interacts with) MFAP2","false","interacts with","COL11A1 (interacts with) MFAP2","0.8437"
"228.66239129119953",,"interacts with","COL11A1 (interacts with) MMP11","false","interacts with","COL11A1 (interacts with) MMP11","0.8416"
"49.51789846309298",,"interacts with","ALB (interacts with) FXYD2","false","interacts with","ALB (interacts with) FXYD2","0.8355"
"170.43506493506473","0.20000000298023224","interacts with","COL11A1 (interacts with) MXRA5","false","interacts with","COL11A1 (interacts with) MXRA5","0.8492"
"16.614754689754687",,"interacts with","MMP11 (interacts with) NTM","false","interacts with","MMP11 (interacts with) NTM","0.8603"
"16.286385836385833",,"interacts with","MMP11 (interacts with) PPAPDC1A","false","interacts with","MMP11 (interacts with) PPAPDC1A","0.8447"
"92.87103696956633",,"interacts with","COL11A1 (interacts with) MXRA5P1","false","interacts with","COL11A1 (interacts with) MXRA5P1","0.8283"
"46.37777777777777",,"interacts with","MMP11 (interacts with) PTK7","false","interacts with","MMP11 (interacts with) PTK7","0.8545"
"173.8166666666666","0.20000000298023224","interacts with","COL11A1 (interacts with) NOX4","false","interacts with","COL11A1 (interacts with) NOX4","0.8152"
"27.496825396825393",,"interacts with","MMP11 (interacts with) SUGCT","false","interacts with","MMP11 (interacts with) SUGCT","0.8439"
"183.45625546795816","0.25","interacts with","COL11A1 (interacts with) NTM","false","interacts with","COL11A1 (interacts with) NTM","0.8692"
"19.067460317460316",,"interacts with","MMP11 (interacts with) THBS2","false","interacts with","MMP11 (interacts with) THBS2","0.822"
"33.74376245417436","0.5","interacts with","ALB (interacts with) SERPINA5","false","interacts with","ALB (interacts with) SERPINA5","0.8343"
"112.0966708128474","0.010101010091602802","interacts with","COL11A1 (interacts with) PPAPDC1A","false","interacts with","COL11A1 (interacts with) PPAPDC1A","0.8769"
"81.53833908273266",,"interacts with","ALB (interacts with) SLC16A12","false","interacts with","ALB (interacts with) SLC16A12","0.8508"
